caldt,vwretd,vwretx,totval
19810930,-0.114394,-0.125524,1086706750.00
19811231,0.075945,0.061998,1157485220.00
19820331,-0.084157,-0.097295,1034512790.00
19820630,-0.009779,-0.024248,1010867780.00
19820930,0.115641,0.099989,1110062740.00
19821231,0.187901,0.173565,1311245130.00
19830331,0.103155,0.090488,1426157230.00
19830630,0.122936,0.111614,1605293370.00
19830930,-0.003790,-0.013996,1595996700.00
19831230,-0.002817,-0.013535,1588204530.00
19840330,-0.030612,-0.041341,1513207130.00
19840629,-0.025617,-0.037340,1441917070.00
19840928,0.095489,0.083509,1557547770.00
19841231,0.015525,0.003686,1549627450.00
19850329,0.097959,0.086458,1676421740.00
19850628,0.072759,0.061842,1761617750.00
19850930,-0.043991,-0.053925,1658981430.00
19851231,0.164792,0.152997,1912680550.00
19860331,0.139691,0.129530,2153702000.00
19860630,0.053107,0.044062,2237181360.00
19860930,-0.066879,-0.074832,2076123460.00
19861231,0.043660,0.033138,2134074070.00
19870331,0.206352,0.197124,2571823900.00
19870630,0.038122,0.029577,2664527230.00
19870930,0.062012,0.053854,2819329990.00
19871231,-0.227387,-0.235685,2153939130.00
19880331,0.072481,0.061066,2282875590.00
19880630,0.064049,0.054127,2389178880.00
19880930,0.002351,-0.007813,2370968230.00
19881230,0.027230,0.014742,2379421060.00
19890331,0.070326,0.059835,2513519150.00
19890630,0.085469,0.075041,2669414820.00
19890929,0.100478,0.090617,2904212550.00
19891229,0.011914,0.003062,2922735630.00
19900330,-0.033167,-0.041712,2796635380.00
19900629,0.052332,0.042395,2915185900.00
19900928,-0.135705,-0.143678,2491571590.00
19901231,0.082432,0.071307,2670252600.00
19910328,0.145548,0.135937,3044499540.00
19910628,-0.000860,-0.009284,3048229640.00
19910930,0.056515,0.048249,3222548530.00
19911231,0.079900,0.071292,3487204460.00
19920331,-0.018445,-0.025649,3435653990.00
19920630,0.011238,0.003470,3473872220.00
19920930,0.029717,0.022080,3570969830.00
19921231,0.056781,0.049019,3780034480.00
19930331,0.047272,0.039902,3974405750.00
19930630,0.006702,-0.000475,4031994250.00
19930930,0.032023,0.024982,4164815880.00
19931231,0.020130,0.013094,4276866700.00
19940331,-0.039130,-0.045762,4103935760.00
19940630,-0.001514,-0.008920,4094745650.00
19940930,0.049696,0.042457,4291620880.00
19941230,-0.009996,-0.017500,4211855190.00
19950331,0.089639,0.082147,4575709320.00
19950630,0.083320,0.076032,4924811210.00
19950929,0.082765,0.075441,5304660010.00
19951229,0.054961,0.048346,5615870220.00
19960329,0.058340,0.052247,5940289090.00
19960628,0.037150,0.031206,6196754930.00
19960930,0.027577,0.021490,6359205330.00
19961231,0.072573,0.066514,6805083800.00
19970331,0.017812,0.012583,6904015300.00
19970630,0.162688,0.157065,7999589630.00
19970930,0.083051,0.078065,8688342980.00
19971231,0.030687,0.025887,8961562440.00
19980331,0.125671,0.121170,10089669700.00
19980630,0.015139,0.011034,10289756500.00
19980930,-0.128825,-0.132846,8958271810.00
19981231,0.193608,0.188695,10690402600.00
19990331,0.016597,0.012651,10880844200.00
19990630,0.077034,0.072438,11724598600.00
19990930,-0.084609,-0.088355,10723500200.00
19991231,0.103116,0.098907,11809519300.00
