caldt,vwretd,vwretx,totval
19590331,0.004669,0.002113,273007793.00
19590430,0.037899,0.036877,283381668.00
19590529,0.019595,0.015364,288172001.00
19590630,0.000676,-0.001865,287839200.00
19590731,0.034362,0.033327,297499307.00
19590831,-0.012446,-0.016502,292609999.00
19590930,-0.044977,-0.047403,278902307.00
19591030,0.015746,0.014613,283172761.00
19591130,0.018557,0.013272,287118978.00
19591231,0.028043,0.025271,299021494.00
19600129,-0.066244,-0.067191,278996928.00
19600229,0.014419,0.009714,282326057.00
19600331,-0.012822,-0.015488,278159487.00
19600429,-0.015271,-0.016329,273807755.00
19600531,0.034098,0.029279,282146236.00
19600630,0.022833,0.020134,288136229.00
19600729,-0.022705,-0.023635,281661173.00
19600831,0.032215,0.027065,289333471.00
19600930,-0.058673,-0.060860,272307316.00
19601031,-0.004705,-0.005921,270712394.00
19601130,0.048617,0.042646,282261348.00
19601230,0.048537,0.046230,299423865.00
19610131,0.063952,0.062787,318421966.00
19610228,0.037005,0.032834,328937437.00
19610330,0.030610,0.028347,339806367.00
19610428,0.005645,0.004884,341881853.00
19610531,0.025894,0.021619,349494365.00
19610630,-0.028499,-0.030570,338886860.00
19610731,0.029955,0.029207,350321849.00
19610831,0.026854,0.021872,358322940.00
19610929,-0.019990,-0.021266,350935373.00
19611031,0.027331,0.026092,360667013.00
19611130,0.045451,0.039879,375333555.00
19611229,0.000713,-0.000599,378064824.00
19620131,-0.036147,-0.037488,364665092.00
19620228,0.019512,0.015252,371979171.00
19620330,-0.004688,-0.006113,369437300.00
19620430,-0.063435,-0.064212,345937603.00
19620531,-0.084620,-0.089763,315141998.00
19620629,-0.082615,-0.084336,287510458.00
19620731,0.065438,0.064129,333171296.00
19620831,0.023414,0.017885,339268168.00
19620928,-0.050154,-0.051782,321975418.00
19621031,0.002184,0.000427,321862346.00
19621130,0.110137,0.102924,355051088.00
19621231,0.011865,0.010056,360094344.00
19630131,0.051848,0.050475,378456656.00
19630228,-0.021931,-0.026608,368526739.00
19630329,0.032917,0.031233,380298778.00
19630430,0.047439,0.046435,398528240.00
19630531,0.020051,0.014726,404613679.00
19630628,-0.018030,-0.019459,396986570.00
19630731,-0.001718,-0.002995,395750077.00
19630830,0.052684,0.048035,415160422.00
19630930,-0.011898,-0.013317,409718288.00
19631031,0.027708,0.026276,420372992.00
19631129,-0.005549,-0.011692,413917007.00
