DATE,GS7
2000/1/1,6.7
2000/2/1,6.72
2000/3/1,6.51
2000/4/1,6.27
2000/5/1,6.69
2000/6/1,6.33
2000/7/1,6.22
2000/8/1,6.05
2000/9/1,5.98
2000/10/1,5.84
2000/11/1,5.78
2000/12/1,5.28
2001/1/1,5.13
2001/2/1,5.1
2001/3/1,4.88
2001/4/1,5.03
2001/5/1,5.24
2001/6/1,5.14
2001/7/1,5.06
2001/8/1,4.84
2001/9/1,4.51
2001/10/1,4.31
2001/11/1,4.42
2001/12/1,4.86
2002/1/1,4.79
2002/2/1,4.71
2002/3/1,5.14
2002/4/1,5.02
2002/5/1,4.9
2002/6/1,4.6
2002/7/1,4.3
2002/8/1,3.88
2002/9/1,3.5
2002/10/1,3.54
2002/11/1,3.64
2002/12/1,3.63
2003/1/1,3.6
2003/2/1,3.45
2003/3/1,3.34
2003/4/1,3.47
2003/5/1,3.07
2003/6/1,2.84
2003/7/1,3.45
2003/8/1,3.96
2003/9/1,3.74
2003/10/1,3.75
2003/11/1,3.81
2003/12/1,3.79
2004/1/1,3.65
2004/2/1,3.59
2004/3/1,3.31
2004/4/1,3.89
2004/5/1,4.31
2004/6/1,4.35
2004/7/1,4.11
2004/8/1,3.9
2004/9/1,3.75
2004/10/1,3.75
2004/11/1,3.88
2004/12/1,3.93
2005/1/1,3.97
2005/2/1,3.97
2005/3/1,4.33
2005/4/1,4.16
2005/5/1,3.94
2005/6/1,3.86
2005/7/1,4.06
2005/8/1,4.18
2005/9/1,4.08
2005/10/1,4.38
2005/11/1,4.48
2005/12/1,4.41
2006/1/1,4.37
2006/2/1,4.56
2006/3/1,4.71
2006/4/1,4.94
2006/5/1,5.03
2006/6/1,5.08
2006/7/1,5.05
2006/8/1,4.83
2006/9/1,4.68
2006/10/1,4.69
2006/11/1,4.58
2006/12/1,4.54
2007/1/1,4.75
2007/2/1,4.71
2007/3/1,4.5
2007/4/1,4.62
2007/5/1,4.69
2007/6/1,5.05
2007/7/1,4.93
2007/8/1,4.53
2007/9/1,4.33
2007/10/1,4.33
2007/11/1,3.87
2007/12/1,3.74
2008/1/1,3.31
2008/2/1,3.21
2008/3/1,2.93
2008/4/1,3.19
2008/5/1,3.46
2008/6/1,3.73
2008/7/1,3.6
2008/8/1,3.46
2008/9/1,3.25
2008/10/1,3.19
2008/11/1,2.82
2008/12/1,1.89
