This file was created by CMPT_ME_BEME_RETS using the 201710 CRSP database.,
The 1-month TBill return is from Ibbotson and Associates, Inc.
,
,Mkt-RF
200202,-2.29
200203,4.24
200204,-5.2
200205,-1.38
200206,-7.21
200207,-8.18
200208,0.5
200209,-10.35
200210,7.84
200211,5.96
200212,-5.76
200301,-2.57
200302,-1.88
200303,1.09
200304,8.22
200305,6.05
200306,1.42
200307,2.35
200308,2.34
200309,-1.24
200310,6.08
200311,1.35
200312,4.29
200401,2.15
200402,1.4
200403,-1.32
200404,-1.83
200405,1.17
200406,1.86
200407,-4.06
200408,0.08
200409,1.6
200410,1.43
200411,4.54
200412,3.43
200501,-2.76
200502,1.89
200503,-1.97
200504,-2.61
200505,3.65
200506,0.57
200507,3.92
200508,-1.22
200509,0.49
200510,-2.02
200511,3.61
200512,-0.25
200601,3.04
200602,-0.3
200603,1.46
200604,0.73
200605,-3.57
200606,-0.35
200607,-0.78
200608,2.03
200609,1.84
200610,3.23
200611,1.71
200612,0.87
200701,1.4
200702,-1.96
200703,0.68
200704,3.49
200705,3.24
200706,-1.96
200707,-3.73
200708,0.92
200709,3.22
200710,1.8
200711,-4.83
200712,-0.87
200801,-6.36
200802,-3.09
200803,-0.93
200804,4.6
200805,1.86
200806,-8.44
200807,-0.77
200808,1.53
200809,-9.24
200810,-17.23
200811,-7.86
200812,1.74
200901,-8.12
200902,-10.1
200903,8.95
200904,10.19
200905,5.21
200906,0.43
200907,7.72
200908,3.33
200909,4.08
200910,-2.59
200911,5.56
200912,2.75
201001,-3.36
201002,3.4
201003,6.31
201004,2
201005,-7.89
201006,-5.56
201007,6.93
201008,-4.77
201009,9.54
201010,3.88
201011,0.6
201012,6.82
201101,1.99
201102,3.49
201103,0.45
201104,2.9
201105,-1.27
201106,-1.75
201107,-2.36
201108,-5.99
201109,-7.59
201110,11.35
201111,-0.28
201112,0.74
201201,5.05
201202,4.42
201203,3.11
201204,-0.85
201205,-6.19
201206,3.89
201207,0.79
201208,2.55
201209,2.73
201210,-1.76
201211,0.78
201212,1.18
201301,5.57
201302,1.29
201303,4.03
201304,1.55
201305,2.8
201306,-1.2
201307,5.65
201308,-2.71
201309,3.77
201310,4.18
201311,3.12
201312,2.81
201401,-3.32
201402,4.65
201403,0.43
201404,-0.19
201405,2.06
201406,2.61
201407,-2.04
201408,4.24
201409,-1.97
201410,2.52
201411,2.55
201412,-0.06
201501,-3.11
201502,6.13
201503,-1.12
201504,0.59
201505,1.36
201506,-1.53
201507,1.54
201508,-6.04
201509,-3.08
201510,7.75
201511,0.56
201512,-2.17
201601,-5.77
201602,-0.07
201603,6.96
201604,0.92
201605,1.78
201606,-0.05
201607,3.95
201608,0.5
201609,0.25
201610,-2.02
201611,4.86
201612,1.82
201701,1.94
201702,3.57
201703,0.17
201704,1.09
201705,1.06
201706,0.78
201707,1.87
201708,0.16
201709,2.51
201710,2.25
